19981207.0700.inter_fm_dga               19981207_0700_0800_inter_fm_dga
20000410.0930.rfi_fm_dga                 20000410_0930_1030_rfi_fm_dga
20000410.1130.rfi_fm_dga                 20000410_1130_1230_rfi_fm_dga
20000414.0930.rfi_fm_dga                 20000414_0930_1030_rfi_fm_dga
20000522.0930.rfi_fm_dga                 20000522_0930_1030_rfi_fm_dga
20000522.1130.rfi_fm_dga                 20000522_1130_1230_rfi_fm_dga
20000523.0930.rfi_fm_dga                 20000523_0930_1030_rfi_fm_dga
20000523.1130.rfi_fm_dga                 20000523_1130_1230_rfi_fm_dga
20000524.0930.rfi_fm_dga                 20000524_0930_1030_rfi_fm_dga
20000524.1130.rfi_fm_dga                 20000524_1130_1230_rfi_fm_dga
20000525.0930.rfi_fm_dga                 20000525_0930_1030_rfi_fm_dga
20000525.1130.rfi_fm_dga                 20000525_1130_1230_rfi_fm_dga
20000907.0930.rfi_fm_dga                 20000907_0930_1030_rfi_fm_dga
20000907.1130.rfi_fm_dga                 20000907_1130_1230_rfi_fm_dga
20000908.0930.rfi_fm_dga                 20000908_0930_1030_rfi_fm_dga
20000908.1130.rfi_fm_dga                 20000908_1130_1230_rfi_fm_dga
20030414.0700.FRANCEINTER_DGA            20030414_0700_0800_FRANCEINTER_DGA
20030414.0800.FRANCEINTER_DGA            20030414_0800_0900_FRANCEINTER_DGA
20030414.1200.FRANCEINFO_DGA             20030414_1200_1300_FRANCEINFO_DGA
20030414.1700.FRANCEINFO_DGA             20030414_1700_1800_FRANCEINFO_DGA
20030415.0700.FRANCEINTER_DGA            20030415_0700_0800_FRANCEINTER_DGA
20030415.0800.FRANCEINTER_DGA            20030415_0800_0900_FRANCEINTER_DGA
20030415.1200.FRANCEINFO_DGA             20030415_1200_1300_FRANCEINFO_DGA
20030415.1700.FRANCEINFO_DGA             20030415_1700_1800_FRANCEINFO_DGA
20030416.0700.FRANCEINTER_DGA            20030416_0700_0800_FRANCEINTER_DGA
20030416.0800.FRANCEINTER_DGA            20030416_0800_0900_FRANCEINTER_DGA
20030416.1200.FRANCEINFO_DGA             20030416_1200_1300_FRANCEINFO_DGA
20030416.1700.FRANCEINFO_DGA             20030416_1700_1800_FRANCEINFO_DGA
20030417.0700.FRANCEINTER_DGA            20030417_0700_0800_FRANCEINTER_DGA
20030417.0800.FRANCEINTER_DGA            20030417_0800_0900_FRANCEINTER_DGA
20030417.1200.FRANCEINFO_DGA             20030417_1200_1300_FRANCEINFO_DGA
20030417.1700.FRANCEINFO_DGA             20030417_1700_1800_FRANCEINFO_DGA
20030418.0700.FRANCEINTER_DGA            20030418_0700_0800_FRANCEINTER_DGA
20030418.0800.FRANCEINTER_DGA            20030418_0800_0900_FRANCEINTER_DGA
20030418.1200.FRANCEINFO_DGA             20030418_1200_1300_FRANCEINFO_DGA
20030418.1700.FRANCEINFO_DGA             20030418_1700_1800_FRANCEINFO_DGA
20030428.1400.RFI_ELDA                   20030428_1400_1500_RFI_ELDA
20030429.1400.RFI_ELDA                   20030429_1400_1500_RFI_ELDA
20030430.1400.RFI_ELDA                   20030430_1400_1500_RFI_ELDA
20030501.1400.RFI_ELDA                   20030501_1400_1500_RFI_ELDA
20030502.1400.RFI_ELDA                   20030502_1400_1500_RFI_ELDA
20030505.1400.RFI_ELDA                   20030505_1400_1500_RFI_ELDA
20030506.1400.RFI_ELDA                   20030506_1400_1500_RFI_ELDA
20030507.1400.RFI_ELDA                   20030507_1400_1500_RFI_ELDA
20030508.1400.RFI_ELDA                   20030508_1400_1500_RFI_ELDA
20030509.1400.RFI_ELDA                   20030509_1400_1500_RFI_ELDA
20030619.0700.RTM_ELDA                   20030619_0700_0710_RTM_ELDA
20030619.1300.RTM_ELDA                   20030619_1300_1320_RTM_ELDA
20030619.2000.RTM_ELDA                   20030619_2000_2020_RTM_ELDA
20030619.2300.RTM_ELDA                   20030619_2300_2310_RTM_ELDA
20030620.0700.RTM_ELDA                   20030620_0700_0710_RTM_ELDA
20030620.1300.RTM_ELDA                   20030620_1300_1320_RTM_ELDA
20030620.2000.RTM_ELDA                   20030620_2000_2020_RTM_ELDA
20030620.2300.RTM_ELDA                   20030620_2300_2310_RTM_ELDA
20030621.0700.RTM_ELDA                   20030621_0700_0715_RTM_ELDA
20030621.1300.RTM_ELDA                   20030621_1300_1315_RTM_ELDA
20030621.2000.RTM_ELDA                   20030621_2000_2015_RTM_ELDA
20030621.2300.RTM_ELDA                   20030621_2300_2310_RTM_ELDA
20030622.0700.RTM_ELDA                   20030622_0700_0710_RTM_ELDA
20030622.1300.RTM_ELDA                   20030622_1300_1310_RTM_ELDA
20030622.2000.RTM_ELDA                   20030622_2000_2015_RTM_ELDA
20030622.2300.RTM_ELDA                   20030622_2300_2310_RTM_ELDA
20030623.0700.RTM_ELDA                   20030623_0700_0710_RTM_ELDA
20030623.1300.RTM_ELDA                   20030623_1300_1320_RTM_ELDA
20030623.2000.RTM_ELDA                   20030623_2000_2015_RTM_ELDA
20030623.2300.RTM_ELDA                   20030623_2300_2310_RTM_ELDA
20030627.0700.RTM_ELDA                   20030627_0700_0715_RTM_ELDA
20030627.1300.RTM_ELDA                   20030627_1300_1320_RTM_ELDA
20030627.2000.RTM_ELDA                   20030627_2000_2020_RTM_ELDA
20030627.2300.RTM_ELDA                   20030627_2300_2310_RTM_ELDA
20030628.0700.RTM_ELDA                   20030628_0700_0715_RTM_ELDA
20030628.1300.RTM_ELDA                   20030628_1300_1320_RTM_ELDA
20030628.2000.RTM_ELDA                   20030628_2000_2015_RTM_ELDA
20030628.2300.RTM_ELDA                   20030628_2300_2310_RTM_ELDA
20030629.0700.RTM_ELDA                   20030629_0700_0710_RTM_ELDA
20030629.1300.RTM_ELDA                   20030629_1300_1320_RTM_ELDA
20030629.2000.RTM_ELDA                   20030629_2000_2010_RTM_ELDA
20030629.2300.RTM_ELDA                   20030629_2300_2315_RTM_ELDA
20030630.0700.RTM_ELDA                   20030630_0700_0710_RTM_ELDA
20030630.1300.RTM_ELDA                   20030630_1300_1320_RTM_ELDA
20030630.2000.RTM_ELDA                   20030630_2000_2020_RTM_ELDA
20030630.2300.RTM_ELDA                   20030630_2300_2315_RTM_ELDA
20030701.0700.RTM_ELDA                   20030701_0700_0715_RTM_ELDA
20030701.1300.RTM_ELDA                   20030701_1300_1320_RTM_ELDA
20030701.2000.RTM_ELDA                   20030701_2000_2015_RTM_ELDA
20030701.2300.RTM_ELDA                   20030701_2300_2310_RTM_ELDA
20030702.0700.RTM_ELDA                   20030702_0700_0710_RTM_ELDA
20030702.1300.RTM_ELDA                   20030702_1300_1315_RTM_ELDA
20030702.2000.RTM_ELDA                   20030702_2000_2020_RTM_ELDA
20030702.2300.RTM_ELDA                   20030702_2300_2310_RTM_ELDA
20030703.0700.RTM_ELDA                   20030703_0700_0715_RTM_ELDA
20030703.1300.RTM_ELDA                   20030703_1300_1320_RTM_ELDA
20030703.2000.RTM_ELDA                   20030703_2000_2015_RTM_ELDA
20030703.2300.RTM_ELDA                   20030703_2300_2310_RTM_ELDA
20030704.0700.RTM_ELDA                   20030704_0700_0715_RTM_ELDA
20030704.1300.RTM_ELDA                   20030704_1300_1320_RTM_ELDA
20030704.2000.RTM_ELDA                   20030704_2000_2020_RTM_ELDA
20030704.2300.RTM_ELDA                   20030704_2300_2310_RTM_ELDA
20030705.0700.RTM_ELDA                   20030705_0700_0710_RTM_ELDA
20030705.1300.RTM_ELDA                   20030705_1300_1320_RTM_ELDA
20030705.2000.RTM_ELDA                   20030705_2000_2015_RTM_ELDA
20030705.2300.RTM_ELDA                   20030705_2300_2310_RTM_ELDA
20030706.0700.RTM_ELDA                   20030706_0700_0710_RTM_ELDA
20030706.1300.RTM_ELDA                   20030706_1300_1315_RTM_ELDA
20030706.2000.RTM_ELDA                   20030706_2000_2010_RTM_ELDA
20030706.2300.RTM_ELDA                   20030706_2300_2310_RTM_ELDA
20030707.0700.RTM_ELDA                   20030707_0700_0710_RTM_ELDA
20030707.1300.RTM_ELDA                   20030707_1300_1315_RTM_ELDA
20030707.2000.RTM_ELDA                   20030707_2000_2020_RTM_ELDA
20030707.2300.RTM_ELDA                   20030707_2300_2310_RTM_ELDA
20030708.0700.RTM_ELDA                   20030708_0700_0715_RTM_ELDA
20030708.1300.RTM_ELDA                   20030708_1300_1320_RTM_ELDA
20030708.2000.RTM_ELDA                   20030708_2000_2020_RTM_ELDA
20030708.2300.RTM_ELDA                   20030708_2300_2315_RTM_ELDA
20030709.0700.RTM_ELDA                   20030709_0700_0710_RTM_ELDA
20030709.1300.RTM_ELDA                   20030709_1300_1320_RTM_ELDA
20030709.2000.RTM_ELDA                   20030709_2000_2020_RTM_ELDA
20030709.2300.RTM_ELDA                   20030709_2300_2310_RTM_ELDA
20030710.0700.RTM_ELDA                   20030710_0700_0715_RTM_ELDA
20030710.1300.RTM_ELDA                   20030710_1300_1320_RTM_ELDA
20030710.2000.RTM_ELDA                   20030710_2000_2020_RTM_ELDA
20030710.2300.RTM_ELDA                   20030710_2300_2310_RTM_ELDA
20030711.0700.RTM_ELDA                   20030711_0700_0715_RTM_ELDA
20030711.1300.RTM_ELDA                   20030711_1300_1320_RTM_ELDA
20030711.2000.RTM_ELDA                   20030711_2000_2020_RTM_ELDA
20030711.2300.RTM_ELDA                   20030711_2300_2310_RTM_ELDA
20030712.0700.RTM_ELDA                   20030712_0700_0710_RTM_ELDA
20030712.1300.RTM_ELDA                   20030712_1300_1315_RTM_ELDA
20030712.2000.RTM_ELDA                   20030712_2000_2015_RTM_ELDA
20030712.2300.RTM_ELDA                   20030712_2300_2310_RTM_ELDA
20030713.0700.RTM_ELDA                   20030713_0700_0710_RTM_ELDA
20030713.1300.RTM_ELDA                   20030713_1300_1310_RTM_ELDA
20030713.2000.RTM_ELDA                   20030713_2000_2010_RTM_ELDA
20030713.2300.RTM_ELDA                   20030713_2300_2310_RTM_ELDA
20030717.0700.RTM_ELDA                   20030717_0700_0715_RTM_ELDA
20030717.1300.RTM_ELDA                   20030717_1300_1320_RTM_ELDA
20030717.2000.RTM_ELDA                   20030717_2000_2020_RTM_ELDA
20030717.2300.RTM_ELDA                   20030717_2300_2315_RTM_ELDA
20030719.0700.RTM_ELDA                   20030719_0700_0715_RTM_ELDA
20030719.1300.RTM_ELDA                   20030719_1300_1320_RTM_ELDA
20030719.2000.RTM_ELDA                   20030719_2000_2015_RTM_ELDA
20030719.2300.RTM_ELDA                   20030719_2300_2310_RTM_ELDA
20041006.0700.CLASSIQUE                  20041006_0700_0800_CLASSIQUE
20041006.0800.CULTURE                    20041006_0800_0900_CULTURE
20041007.0800.INTER_DGA                  20041007_0800_0900_INTER_DGA
20041008.1800.INFO_DGA                   20041008_1800_1830_INFO_DGA
20041011.1300.INTER_DGA                  20041011_1300_1400_INTER_DGA
20041012.1800.INFO_DGA                   20041012_1800_1830_INFO_DGA
20041013.1700.INFO_DGA                   20041013_1700_1800_INFO_DGA
20041025.1930.RFI_ELDA                   20041025_1930_2000_RFI_ELDA
20041026.1930.RFI_ELDA                   20041026_1930_2000_RFI_ELDA
20041027.1230.RFI_ELDA                   20041027_1230_1300_RFI_ELDA
20041124.1230.RFI_ELDA                   20041124_1230_1300_RFI_ELDA
20041217.1300.RTM_ELDA                   20041217_1300_1322_RTM_ELDA
20041218.1300.RTM_ELDA                   20041218_1300_1314_RTM_ELDA
20041219.1300.RTM_ELDA                   20041219_1300_1314_RTM_ELDA
20041220.1300.RTM_ELDA                   20041220_1300_1314_RTM_ELDA
20041221.1300.RTM_ELDA                   20041221_1300_1321_RTM_ELDA
20041222.1300.RTM_ELDA                   20041222_1300_1320_RTM_ELDA
20041223.1300.RTM_ELDA                   20041223_1300_1318_RTM_ELDA
20070608.0730.africa1                    20070608_0730_0745_africa1
20070613.0730.africa1                    20070613_0730_0745_africa1
20070614.0730.africa1                    20070614_0730_0745_africa1
20070615.0730.africa1                    20070615_0730_0745_africa1
20070618.0730.africa1                    20070618_0730_0745_africa1
20070619.0730.africa1                    20070619_0730_0745_africa1
20070625.0730.africa1                    20070625_0730_0745_africa1
20070626.0730.africa1                    20070626_0730_0745_africa1
20070628.0730.africa1                    20070628_0730_0745_africa1
20070707.0700.rfi                        20070707_0700_0800_rfi
20070710.0630.rfi                        20070710_0630_0650_rfi
20070710.1900.inter                      20070710_1900_1920_inter
20070711.1900.inter                      20070711_1900_1920_inter
20070712.1900.inter                      20070712_1900_1920_inter
20070715.2045.tvme                       20070715_2045_2100_tvme
20070716.1200.inter                      20070716_1200_1300_inter
20070716.2045.tvme                       20070716_2045_2100_tvme
20070717.2045.tvme                       20070717_2045_2100_tvme
20070718.2045.tvme                       20070718_2045_2100_tvme
20070723.1920.inter                      20070723_1920_2000_inter
20071218.1900.inter                      20071218_1900_1920_inter
20071219.2135.tvme                       20071219_2135_2150_tvme
20071220.1900.inter                      20071220_1900_1920_inter
20071221.1900.inter                      20071221_1900_1920_inter
20071221.2135.tvme                       20071221_2135_2150_tvme
20080107.2135.tvme                       20080107_2135_2150_tvme
20080108.2135.tvme                       20080108_2135_2150_tvme
20080117.1000.inter                      20080117_1000_1100_inter
20080118.1000.inter                      20080118_1000_1100_inter
20080118.2030.rfi                        20080118_2030_2040_rfi
20080122.0930.rfi                        20080122_0930_0940_rfi
20080122.2030.rfi                        20080122_2030_2040_rfi
20080123.2030.rfi                        20080123_2030_2040_rfi
20080124.1920.inter                      20080124_1920_2000_inter
20080124.2030.rfi                        20080124_2030_2040_rfi
20080125.2030.rfi                        20080125_2030_2040_rfi
20080128.2030.rfi                        20080128_2030_2040_rfi
20080204.1900.africa1                    20080204_1900_1910_africa1
20080205.1900.africa1                    20080205_1900_1910_africa1
20080206.1200.africa1                    20080206_1200_1210_africa1
20080207.1200.africa1                    20080207_1200_1210_africa1
20080208.1200.africa1                    20080208_1200_1210_africa1
20080209.1200.africa1                    20080209_1200_1210_africa1
20080210.1200.africa1                    20080210_1200_1210_africa1
20080211.1200.africa1                    20080211_1200_1210_africa1
20080212.1200.africa1                    20080212_1200_1210_africa1
20100203.1750.FINTER_DEBATE              EST2BC_FRE_FR_20100203_1750_FINTER_DEBATE
20100204.1000.FINTER_DEBATE              EST2BC_FRE_FR_20100204_1000_FINTER_DEBATE
20100204.1230.FINTER_FOUDUROI_POD        EST2BC_FRE_FR_20100204_123000_FINTER_FOUDUROI_POD
20100204.1750.FINTER_DEBATE              EST2BC_FRE_FR_20100204_1750_FINTER_DEBATE
20100205.1000.FINTER_DEBATE              EST2BC_FRE_FR_20100205_1000_FINTER_DEBATE
20100207.2000.FINTER_DEBATE              EST2BC_FRE_FR_20100207_2000_FINTER_DEBATE
20100208.1000.FINTER_DEBATE              EST2BC_FRE_FR_20100208_1000_FINTER_DEBATE
20100208.1750.FINTER_DEBATE              EST2BC_FRE_FR_20100208_1750_FINTER_DEBATE
20100214.2000.FINTER_DEBATE              EST2BC_FRE_FR_20100214_2000_FINTER_DEBATE
20100221.2000.FINTER_DEBATE              EST2BC_FRE_FR_20100221_2000_FINTER_DEBATE
20100903.1759.BFMTV_BFMStory             BFMTV_BFMStory_2010-09-03_175900
20100910.1929.LCP_EntreLesLignes         LCP_EntreLesLignes_2010-09-10_192900
20100911.0859.LCP_PileEtFace             LCP_PileEtFace_2010-09-11_085900
20100914.1759.BFMTV_BFMStory             BFMTV_BFMStory_2010-09-14_175900
20100918.0859.LCP_PileEtFace             LCP_PileEtFace_2010-09-18_085900
20100928.2049.LCP_CaVousRegarde          LCP_CaVousRegarde_2010-09-28_204900
20101001.1759.BFMTV_BFMStory             BFMTV_BFMStory_2010-10-01_175900
20101003.0604.LCP_PileEtFace             LCP_PileEtFace_2010-10-03_060400
20101003.1359.LCP_EntreLesLignes         LCP_EntreLesLignes_2010-10-03_135900
20101004.2152.FINTER_DEBATE              EST2BC_FRE_FR_20101004_2152_FINTER_DEBATE
20101005.2152.FINTER_DEBATE              EST2BC_FRE_FR_20101005_2152_FINTER_DEBATE
20101006.0910.FINTER_DEBATE              EST2BC_FRE_FR_20101006_0910_FINTER_DEBATE
20101006.2152.FINTER_DEBATE              EST2BC_FRE_FR_20101006_2152_FINTER_DEBATE
20101007.2152.FINTER_DEBATE              EST2BC_FRE_FR_20101007_2152_FINTER_DEBATE
20101008.0910.FINTER_DEBATE              EST2BC_FRE_FR_20101008_0910_FINTER_DEBATE
20101010.0604.LCP_PileEtFace             LCP_PileEtFace_2010-10-10_060400
20101014.2152.FINTER_DEBATE              EST2BC_FRE_FR_20101014_2152_FINTER_DEBATE
20101015.0910.FINTER_DEBATE              EST2BC_FRE_FR_20101015_0910_FINTER_DEBATE
20101017.0604.LCP_PileEtFace             LCP_PileEtFace_2010-10-17_060400
20101017.2004.FINTER_DEBATE              EST2BC_FRE_FR_20101017_2004_FINTER_DEBATE
20101018.0910.FINTER_DEBATE              EST2BC_FRE_FR_20101018_0910_FINTER_DEBATE
20101018.2048.LCP_CaVousRegarde          LCP_CaVousRegarde_2010-10-18_204800
20101018.2152.FINTER_DEBATE              EST2BC_FRE_FR_20101018_2152_FINTER_DEBATE
20101019.0910.FINTER_DEBATE              EST2BC_FRE_FR_20101019_0910_FINTER_DEBATE
20101020.2152.FINTER_DEBATE              EST2BC_FRE_FR_20101020_2152_FINTER_DEBATE
20101021.2152.FINTER_DEBATE              EST2BC_FRE_FR_20101021_2152_FINTER_DEBATE
20101024.0604.LCP_PileEtFace             LCP_PileEtFace_2010-10-24_060400
20101024.1359.LCP_EntreLesLignes         LCP_EntreLesLignes_2010-10-24_135900
20101024.2004.FINTER_DEBATE              EST2BC_FRE_FR_20101024_2004_FINTER_DEBATE
20101025.2152.FINTER_DEBATE              EST2BC_FRE_FR_20101025_2152_FINTER_DEBATE
20101026.2138.LCP_TopQuestions           LCP_TopQuestions_2010-10-26_213800
20101026.2152.FINTER_DEBATE              EST2BC_FRE_FR_20101026_2152_FINTER_DEBATE
20101028.2152.FINTER_DEBATE              EST2BC_FRE_FR_20101028_2152_FINTER_DEBATE
20101102.2138.LCP_TopQuestions           LCP_TopQuestions_2010-11-02_213800
20101116.2138.LCP_TopQuestions           LCP_TopQuestions_2010-11-16_213800
20101121.0604.LCP_PileEtFace             LCP_PileEtFace_2010-11-21_060400
20101122.1759.BFMTV_BFMStory             BFMTV_BFMStory_2010-11-22_175900
20101122.2048.LCP_CaVousRegarde          LCP_CaVousRegarde_2010-11-22_204800
20101123.2138.LCP_TopQuestions           LCP_TopQuestions_2010-11-23_213800
20101130.2138.LCP_TopQuestions           LCP_TopQuestions_2010-11-30_213800
20110103.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-01-03_175900
20110123.1359.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-01-23_135900
20110129.1228.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-01-29_122800
20110201.2138.LCP_TopQuestions           LCP_TopQuestions_2011-02-01_213800
20110213.0557.LCP_PileEtFace             LCP_PileEtFace_2011-02-13_055700
20110213.1357.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-02-13_135700
20110217.2047.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-02-17_204700
20110314.1728.TV8_LaPlaceDuVillage       TV8_LaPlaceDuVillage_2011-03-14_172834
20110317.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-03-17_175900
20110317.1929.LCP_PileEtFace             LCP_PileEtFace_2011-03-17_192900
20110318.1929.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-03-18_192900
20110321.2013.TV8_LaPlaceDuVillage       TV8_LaPlaceDuVillage_2011-03-21_201334
20110323.2139.LCP_TopQuestions           LCP_TopQuestions_2011-03-23_213900
20110324.1929.LCP_PileEtFace             LCP_PileEtFace_2011-03-24_192900
20110325.1929.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-03-25_192900
20110405.0259.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-04-05_025900
20110405.2139.LCP_TopQuestions           LCP_TopQuestions_2011-04-05_213900
20110412.2139.LCP_TopQuestions           LCP_TopQuestions_2011-04-12_213900
20110414.1929.LCP_PileEtFace             LCP_PileEtFace_2011-04-14_192900
20110415.1929.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-04-15_192900
20110503.2013.TV8_LaPlaceDuVillage       TV8_LaPlaceDuVillage_2011-05-03_201300
20110504.2359.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-05-04_235900
20110506.1928.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-05-06_192800
20110507.0258.LCP_PileEtFace             LCP_PileEtFace_2011-05-07_025800
20110509.2359.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-05-09_235900
20110510.2028.LCP_LCPInfo20h30           LCP_LCPInfo20h30_2011-05-10_202800
20110510.2049.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-05-10_204900
20110511.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-05-11_175900
20110511.2138.LCP_TopQuestions           LCP_TopQuestions_2011-05-11_213800
20110511.2359.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-05-11_235900
20110512.0645.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-05-12_064500
20110512.1728.TV8_LaPlaceDuVillage       TV8_LaPlaceDuVillage_2011-05-12_172800
20110512.2359.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-05-12_235900
20110513.0059.LCP_PileEtFace             LCP_PileEtFace_2011-05-13_005900
20110513.0645.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-05-13_064500
20110513.1928.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-05-13_192800
20110518.0004.LCP_TopQuestions           LCP_TopQuestions_2011-05-18_000400
20110518.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-05-18_065000
20110525.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-05-25_065000
20110525.2138.LCP_TopQuestions           LCP_TopQuestions_2011-05-25_213800
20110526.0004.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-05-26_000400
20110526.1928.LCP_PileEtFace             LCP_PileEtFace_2011-05-26_192800
20110527.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-05-27_065000
20110531.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-05-31_175900
20110531.2029.LCP_LCPInfo20h30           LCP_LCPInfo20h30_2011-05-31_202900
20110601.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-06-01_065000
20110601.1328.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-06-01_132800
20110602.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-06-02_065000
20110602.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-06-02_175900
20110603.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-06-03_065000
20110603.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-06-03_175900
20110704.2358.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-07-04_235800
20110705.0258.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-07-05_025800
20110705.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-07-05_065000
20110705.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-07-05_175900
20110705.2029.LCP_LCPInfo20h30           LCP_LCPInfo20h30_2011-07-05_202900
20110706.0750.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-07-06_075000
20110706.1328.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-07-06_132800
20110707.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-07-07_175900
20110707.2028.LCP_LCPInfo20h30           LCP_LCPInfo20h30_2011-07-07_202800
20110708.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-07-08_065040
20110708.1328.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-07-08_132800
20110708.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-07-08_175900
20110708.1928.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-07-08_192800
20110709.0303.LCP_PileEtFace             LCP_PileEtFace_2011-07-09_030300
20110711.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-07-11_065040
20110711.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-07-11_175900
20110712.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-07-12_065040
20110713.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-07-13_065040
20110713.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-07-13_175900
20110713.2138.LCP_TopQuestions           LCP_TopQuestions_2011-07-13_213800
20110907.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-09-07_175900
20110908.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-08_065040
20110909.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-09_065040
20110912.0750.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-12_075000
20110912.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-09-12_175900
20110913.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-13_065040
